,sid_sens,fastrate,temp0,temp_thresh
1.22,2.9642496233655054e-06,37.00224402534464,3.8932749050989273,4.669589599999947
2.22,3.1623289726411654e-18,45.89426823007552,3.231886088864227,3.9406198716156657
3.22,4.150681961198538e-05,17.26153990434858,1.2169326149778237,3.3357989925343934
4.22,8.107063610993959e-05,10.00324542479446,1.008876700908265,2.1680998026416054
5.22,5.109870508726995e-05,10.069791697852253,2.5758022470058193,3.3099115999881024
6.22,5.2944978944653584e-05,10.000000000000028,1.2442279237658282,2.7626139999935617
7.22,8.24193939428749e-05,10.512134684674908,1.06932612244723,2.051469875093612
8.22,4.788288565499351e-05,10.000000000001503,2.384513465040285,3.2751237999999487
9.22,4.952569729835606e-05,10.000000000000142,1.0345189511546553,2.9632000405930228
10.22,7.642497542383324e-05,10.000000006166175,0.8404098878307826,2.5607543960028165
11.22,4.62427855387449e-05,10.000000000000053,2.2998673988809495,3.236143100000062
12.22,4.565518668126318e-05,10.003771212586638,0.7340327067369263,2.7839785000000044
13.22,7.680022759708703e-05,10.78103155957685,0.8696108910650697,2.015203500000547
14.22,4.589539733699194e-05,10.000000000000199,2.23761364075433,3.2165177071918434
15.22,4.473682454436714e-05,10.00000000000422,0.6399505313394467,2.723736900000004
16.22,7.335660807026984e-05,10.654599264325583,0.5825711226177348,2.49198843472799
17.22,2.8332044208252015e-05,10.000000000000636,0.7148361012278326,3.3099115999999675
18.22,3.869593789348501e-05,11.48447770819479,2.1754850719135238e-08,3.113072999999379
19.22,7.251766461663016e-05,10.00000000000833,9.905890683734662e-11,3.0778298390929546
20.22,2.671691032720036e-05,10.047519203593303,0.40998330199228117,3.301586443408297
21.22,7.67161869729124e-05,10.000000187953933,7.0689444396424685e-15,2.9206096999989897
22.22,2.5862689863750883e-05,10.000023229768718,0.28190937218285633,3.309830357268135
23.22,2.4957113472827873e-05,10.000000000004391,4.577978078204871e-07,4.015150300003942
24.22,2.5171779552728427e-05,10.006144656438517,0.0003140383926892264,5.309518338629596
25.22,3.145392877917705e-05,10.000000044869576,1.573809785371967e-14,6.334191595242714
26.22,4.240095406715384e-05,14.037557810900722,1.3868179265256043e-14,9.285790907455278
27.22,3.5997615776101036e-05,20.606843101029277,7.384352407886359e-15,9.462730065370053
28.22,3.599761577610095e-05,21.837311851029288,4.752531739972324e-15,9.462730065370055
29.22,3.599761577610083e-05,23.337311851029305,1.0313927489997432e-15,9.629396732036723
