
__MAGICC 7.X DATA OUTPUT FILE__

OUTPUT:  DAT_SURFACE_TEMP
RUN:   SLR_AISSID_RCP26                                                                                                              
RUN_ID:                               1
DATE:   No Date specified.                                                                                                            
MAGICC-VERSION:   7.0.0.1 BETA, MAY 2016                                                                              

&THISFILE_SPECIFICATIONS
 THISFILE_DATACOLUMNS=          0,
 THISFILE_FIRSTYEAR=       1850,
 THISFILE_LASTYEAR=       2500,
 THISFILE_ANNUALSTEPS=          1,
 THISFILE_FIRSTDATAROW=         21,
 THISFILE_UNITS="K                                                                                                   ",
 THISFILE_DATTYPE="FOURBOXDATA                                                                                         ",
 /

   YEARS   GLOBAL    NH-OCEAN   NH-LAND   SH-OCEAN   SH-LAND
      1906     -0.11769854E+00     -0.28831991E+00     -0.22540029E+00     -0.51651001E-01      0.32048035E+00
      1907     -0.15345637E+00     -0.25764720E+00     -0.36395772E+00     -0.27475993E-01      0.81385295E-01
      1908     -0.43867717E-01     -0.10781352E+00     -0.19540151E+00      0.86978619E-01     -0.56419373E-01
      1909      0.23541912E+00      0.15516983E+00      0.28864797E+00      0.27903163E+00      0.18653615E+00
      1910      0.21964946E+00      0.29653858E-01      0.19951884E+00      0.14669926E+00      0.10590922E+01
      1911      0.49713478E-01     -0.18924967E+00      0.26168315E+00     -0.30186971E-02      0.48414103E+00
      1912      0.64640551E-01     -0.14933777E+00      0.30561574E+00      0.11329383E+00     -0.93510946E-02
      1913      0.32967547E-02     -0.22349803E+00      0.29902140E-01      0.10200605E+00      0.20513662E+00
      1914      0.99173389E-01     -0.10979207E+00      0.44484456E-01      0.24331719E+00      0.24343872E+00
      1915      0.13294884E+00     -0.47269185E-01      0.87875366E-01      0.21737600E+00      0.40323385E+00
      1916      0.18522572E+00      0.61175580E-01      0.14681498E-01      0.28923833E+00      0.47764333E+00
      1917      0.24970037E+00      0.54874783E-01      0.41399383E+00      0.24397516E+00      0.48074087E+00
      1918      0.25856143E+00      0.30942735E-01      0.50708771E+00      0.18674088E+00      0.66035207E+00
      1919      0.16990632E+00      0.67605673E-01      0.85884094E-01      0.22937514E+00      0.39677938E+00
      1920      0.30870911E+00      0.19981813E+00      0.34479014E+00      0.29758274E+00      0.57914988E+00
      1921      0.29949531E+00      0.17077453E+00      0.53435262E+00      0.20514426E+00      0.54023488E+00
      1922      0.22607468E+00      0.24080439E+00      0.30469004E+00      0.15874739E+00      0.28144073E+00
      1923      0.38437988E+00      0.40115103E+00      0.57784780E+00      0.27401657E+00      0.36629995E+00
